
2024/03/13 (09:57:17) | ===> btop++ v.1.3.2
2024/03/13 (09:57:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/13 (09:57:17) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/03/13 (17:50:19) | ===> btop++ v.1.3.2
2024/03/13 (17:50:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!

2024/04/02 (10:58:34) | ===> btop++ v.1.3.2
2024/04/02 (10:58:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/02 (10:58:34) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/04/05 (20:14:19) | ===> btop++ v.1.3.2
2024/04/05 (20:14:19) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/04/05 (20:14:19) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/04/05 (23:56:01) | ===> btop++ v.1.3.2
2024/04/05 (23:56:01) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/04/05 (23:56:01) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/04/06 (00:20:04) | ===> btop++ v.1.3.2
2024/04/06 (00:20:04) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/04/06 (00:20:04) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/04/06 (00:26:25) | ===> btop++ v.1.3.2
2024/04/06 (00:26:25) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/04/06 (00:26:25) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/04/06 (00:29:12) | ===> btop++ v.1.3.2
2024/04/06 (00:29:12) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/04/06 (00:29:12) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/04/06 (00:46:26) | ===> btop++ v.1.3.2
2024/04/06 (00:46:26) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/04/06 (00:46:26) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/04/06 (09:45:25) | ===> btop++ v.1.3.2
2024/04/06 (09:45:25) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/04/06 (09:45:25) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/04/07 (14:05:37) | ===> btop++ v.1.3.2
2024/04/07 (14:05:37) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/04/07 (14:05:37) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...

2024/04/07 (17:26:52) | ===> btop++ v.1.3.2
2024/04/07 (17:26:52) | WARNING: Failed to get disk/partition stats for mount "/bin" with statvfs error code: 2. Ignoring...
2024/04/07 (17:26:52) | WARNING: Failed to get disk/partition stats for mount "/usr/bin" with statvfs error code: 2. Ignoring...
